URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/center_program/crime/Research/Research_4,404,,7/11/17,Not found,Desktop,7/11/17
http://www.law.columbia.edu/fac/Theodore_Katz,404,,6/20/17,Not found,Desktop,6/20/17
http://www.law.columbia.edu/fac/Alan_Trammell,404,,1/25/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/fac/Noa_Ben-Asher,404,,1/23/17,Not found,Desktop,6/29/17
http://www.law.columbia.edu/center_program/law_economics/Confrences,404,,4/9/17,Not found,Desktop,7/21/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/trade_guide,404,,6/29/17,Not found,Desktop,6/29/17
http://www.law.columbia.edu/fac/Gary_Horlick,404,,5/4/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/fac/Celeste_Koeleveld,404,,5/29/17,Not found,Desktop,5/29/17
http://www.law.columbia.edu/llm_intro/grad_studies/courses/Intellectual_Pr,404,,5/16/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/fac/Naureen_Shah,404,,1/28/17,Not found,Desktop,6/25/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=60944,404,,6/19/17,Not found,Desktop,6/19/17
http://www.law.columbia.edu/null?&layout=profpopup&main.ctrl=contactmgr.detail&main.view=profiles.detail&global.id=413,404,,5/28/17,Not found,Desktop,7/2/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=622813,404,,6/22/17,Not found,Desktop,6/23/17
http://www.law.columbia.edu/graduation-2011/541529/2011-degree-candidatesJuris,404,,1/19/17,Not found,Desktop,7/2/17
http://www.law.columbia.edu/null/Leubsdorf?exclusive=filemgr.download&file_id=12571&showthumb=0,404,,7/10/17,Not found,Desktop,7/10/17
http://www.law.columbia.edu/law_school/communications/reports/winter2002/Sept_11,404,,1/24/17,Not found,Desktop,7/23/17
http://www.law.columbia.edu/law_school/communications/reports/winter07/leadership,404,,6/19/17,Not found,Desktop,6/19/17
